kategori,alt_kategori,urun_adi,fiyat,birim,miktar
Atıştırmalık,Kuruyemiş,Peyman Nutzz Crunch Süt Mısır Aromalı Yer Fıstığı,27.99,1,
Atıştırmalık,Kuruyemiş,Peyman Nutzz Tuzlu Kızartılmış Yer Fıstığı,43.99,1,
Atıştırmalık,Kuruyemiş,Peyman Nutzz Party Peynir Aromalı Mısır Çerezi ve Yer Fıstığı,24.4,1,
Atıştırmalık,Kuruyemiş,Peyman Nutzz Crunch Ketçap Aromalı Yer Fıstığı,27.99,1,
Atıştırmalık,Kuruyemiş,Peyman Nutzz Acılı Kızartılmış Yer Fıstığı,43.99,1,
Atıştırmalık,Kuruyemiş,OttoNuts Siirt Fıstık,199.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Gün Kurusu Kayısı,88.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kuru Kayısı,81.99,1,
Atıştırmalık,Kuruyemiş,Dovido Kuru Kayısı,55.6,1,
Atıştırmalık,Kuruyemiş,Dovido Kuru Erik ,49.99,1,
Atıştırmalık,Kuruyemiş,Dovido Kuru İncir,114.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kuru Üzüm,83.99,1,
Atıştırmalık,Kuruyemiş,Dovido Çekirdekli Antep Karası Üzüm ,48.99,1,
Atıştırmalık,Kuruyemiş,Otto Medjoul Hurma,88.99,1,
Atıştırmalık,Kuruyemiş,Dovido Kuru Üzüm,55.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Kuru Erik,59.5,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Dut Kurusu,55.99,1,
Atıştırmalık,Kuruyemiş,Dovido Kuru Turna Yemişi ,51.99,1,
Atıştırmalık,Kuruyemiş,Koska Fındıklı Cezerye,26.5,1,
Atıştırmalık,Kuruyemiş,Peyman Çitliyo Kara Şimşek Siyah Ay Çekirdeği,97.5,1,
Atıştırmalık,Kuruyemiş,Malatya Pazarı Siyah Çekirdek,33.99,1,
Atıştırmalık,Kuruyemiş,Malatya Pazarı Tuzlu Siyah Çekirdek,33.99,1,
Atıştırmalık,Kuruyemiş,Dovido Meyve Mix,72.5,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Kurutulmuş Tropikal Mango,94.5,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Kurutulmuş Tropikal Ananas,94.5,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Kurutulmuş Mısır,77.99,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Kurutulmuş Çilek,66.99,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Kukuli Muz,77.99,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Magic Ball Böğürtlenli Elma Topu,77.99,1,
Atıştırmalık,Kuruyemiş,Malatya Pazarı Kuru Kayısı,88.99,1,
Atıştırmalık,Kuruyemiş,Malatya Pazarı Şehzade Kuş Lokumu,41.5,1,
Atıştırmalık,Kuruyemiş,Malatya Pazarı Şehzade Fıstık Lokum,68.99,1,
Atıştırmalık,Kuruyemiş,Koska Fındıklı Cezerye,45.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Kaju Kabuklu,77.99,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Fruit Mix,83.5,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Berry Mix,83.5,1,
Atıştırmalık,Kuruyemiş,Freeze Fresh Lime,94.5,1,
Atıştırmalık,Kuruyemiş,List Nut Hot Paprika Soslu Mısır,33.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Ballı Susamlı Leblebi,33.5,1,
Atıştırmalık,Kuruyemiş,List Nuts Tütsü Aromalı Karışık Kuruyemiş,58.99,1,
Atıştırmalık,Kuruyemiş,Drybox Armut Cipsi,105.99,1,
Atıştırmalık,Kuruyemiş,Drybox Tarçınlı Elma,66.99,1,
Atıştırmalık,Kuruyemiş,Drybox Çilek Dilimi,94.99,1,
Atıştırmalık,Kuruyemiş,Master Nut X Keyifli Kokteyl,179.99,1,
Atıştırmalık,Kuruyemiş,Master Nut Kabak Çekirdeği,57.99,1,
Atıştırmalık,Kuruyemiş,Master Nut İç Yer Fıstığı Tuzlu,44.5,1,
Atıştırmalık,Kuruyemiş,Master Nut Mısır Çerezi,27.99,1,
Atıştırmalık,Kuruyemiş,Master Farm İç Tatlı Badem Çiğ,138.99,1,
Atıştırmalık,Kuruyemiş,Master Farm Dut Kurusu,65.99,1,
Atıştırmalık,Kuruyemiş,Dovido Kuru Kayısı,66.5,1,
Atıştırmalık,Kuruyemiş,Dovido Gün Kurusu Kayısı,86.99,1,
Atıştırmalık,Kuruyemiş,Dovido Multi Furito Böğürtlen  Çilek Aromalı Üzüm,55.5,1,
Atıştırmalık,Kuruyemiş,Dovido Multi Furito Muz Portakal Aromalı Üzüm,55.99,1,
Atıştırmalık,Kuruyemiş,Peyman Bahçeden Çiğ Karışık Enerji,99.99,1,
Atıştırmalık,Kuruyemiş,Peyman Nutzz Barbekü Soslu Mısır Çerezi,28.5,1,
